#   R_nom       meanR       meanlogR        xi        sigma_xi        DD           RR           DR         npairs   
  4.1864e-01   4.1882e-01  -8.7041e-01   1.6233e-01   1.1223e-02   9.2550e+03   7.9396e+03   7.9529e+03   9.2550e+03
  4.4011e-01   4.4034e-01  -8.2031e-01   1.5593e-01   1.0677e-02   1.0112e+04   8.7717e+03   8.7580e+03   1.0112e+04
  4.6267e-01   4.6277e-01  -7.7062e-01   1.5330e-01   1.0164e-02   1.1234e+04   9.6807e+03   9.7153e+03   1.1234e+04
  4.8640e-01   4.8663e-01  -7.2035e-01   1.5393e-01   9.6642e-03   1.2402e+04   1.0707e+04   1.0730e+04   1.2402e+04
  5.1133e-01   5.1146e-01  -6.7058e-01   1.7521e-01   9.1969e-03   1.3883e+04   1.1823e+04   1.1817e+04   1.3883e+04
  5.3755e-01   5.3782e-01  -6.2033e-01   1.6552e-01   8.7537e-03   1.5217e+04   1.3050e+04   1.3054e+04   1.5217e+04
  5.6511e-01   5.6534e-01  -5.7043e-01   1.4908e-01   8.3253e-03   1.6539e+04   1.4428e+04   1.4408e+04   1.6539e+04
  5.9409e-01   5.9433e-01  -5.2042e-01   1.4624e-01   7.9240e-03   1.8297e+04   1.5926e+04   1.5947e+04   1.8297e+04
  6.2454e-01   6.2482e-01  -4.7039e-01   1.4321e-01   7.5393e-03   2.0175e+04   1.7593e+04   1.7624e+04   2.0175e+04
  6.5657e-01   6.5692e-01  -4.2030e-01   1.3938e-01   7.1757e-03   2.2194e+04   1.9421e+04   1.9454e+04   2.2194e+04
  6.9023e-01   6.9068e-01  -3.7019e-01   1.5554e-01   6.8268e-03   2.4807e+04   2.1457e+04   2.1463e+04   2.4807e+04
  7.2562e-01   7.2590e-01  -3.2045e-01   1.3078e-01   6.4953e-03   2.6826e+04   2.3703e+04   2.3714e+04   2.6826e+04
  7.6282e-01   7.6321e-01  -2.7033e-01   1.5138e-01   6.1824e-03   3.0148e+04   2.6163e+04   2.6175e+04   3.0148e+04
  8.0193e-01   8.0221e-01  -2.2050e-01   1.2917e-01   5.8832e-03   3.2691e+04   2.8891e+04   2.8925e+04   3.2691e+04
  8.4305e-01   8.4353e-01  -1.7027e-01   1.3219e-01   5.5984e-03   3.6167e+04   3.1907e+04   3.1928e+04   3.6167e+04
  8.8627e-01   8.8673e-01  -1.2032e-01   1.3388e-01   5.3282e-03   4.0004e+04   3.5224e+04   3.5256e+04   4.0004e+04
  9.3171e-01   9.3220e-01  -7.0308e-02   1.3310e-01   5.0711e-03   4.4248e+04   3.8887e+04   3.8979e+04   4.4248e+04
  9.7948e-01   9.7995e-01  -2.0358e-02   1.2268e-01   4.8250e-03   4.8259e+04   4.2955e+04   4.2972e+04   4.8259e+04
  1.0297e+00   1.0304e+00   2.9803e-02   1.2270e-01   4.5928e-03   5.3225e+04   4.7408e+04   4.7408e+04   5.3225e+04
  1.0825e+00   1.0829e+00   7.9571e-02   9.7074e-02   4.3705e-03   5.7625e+04   5.2353e+04   5.2448e+04   5.7625e+04
  1.1380e+00   1.1385e+00   1.2962e-01   1.1612e-01   4.1604e-03   6.4631e+04   5.7773e+04   5.7848e+04   6.4631e+04
  1.1963e+00   1.1971e+00   1.7977e-01   1.0758e-01   3.9597e-03   7.0908e+04   6.3780e+04   6.3913e+04   7.0908e+04
  1.2577e+00   1.2583e+00   2.2963e-01   1.0176e-01   3.7698e-03   7.7709e+04   7.0365e+04   7.0457e+04   7.7709e+04
  1.3222e+00   1.3228e+00   2.7962e-01   9.7211e-02   3.5888e-03   8.5514e+04   7.7642e+04   7.7804e+04   8.5514e+04
  1.3899e+00   1.3907e+00   3.2969e-01   1.0122e-01   3.4166e-03   9.4468e+04   8.5667e+04   8.5732e+04   9.4468e+04
  1.4612e+00   1.4620e+00   3.7967e-01   9.2517e-02   3.2525e-03   1.0365e+05   9.4530e+04   9.4718e+04   1.0365e+05
  1.5361e+00   1.5370e+00   4.2970e-01   9.2537e-02   3.0961e-03   1.1414e+05   1.0432e+05   1.0441e+05   1.1414e+05
  1.6149e+00   1.6159e+00   4.7980e-01   9.2994e-02   2.9474e-03   1.2585e+05   1.1511e+05   1.1513e+05   1.2585e+05
  1.6977e+00   1.6986e+00   5.2972e-01   7.7613e-02   2.8059e-03   1.3747e+05   1.2702e+05   1.2731e+05   1.3747e+05
  1.7847e+00   1.7858e+00   5.7973e-01   8.5855e-02   2.6719e-03   1.5242e+05   1.4007e+05   1.4024e+05   1.5242e+05
  1.8762e+00   1.8770e+00   6.2959e-01   7.1463e-02   2.5437e-03   1.6650e+05   1.5455e+05   1.5500e+05   1.6650e+05
  1.9724e+00   1.9733e+00   6.7962e-01   8.2601e-02   2.4224e-03   1.8501e+05   1.7042e+05   1.7068e+05   1.8501e+05
  2.0736e+00   2.0745e+00   7.2960e-01   6.9880e-02   2.3070e-03   2.0177e+05   1.8789e+05   1.8827e+05   2.0177e+05
  2.1799e+00   2.1807e+00   7.7954e-01   7.1252e-02   2.1976e-03   2.2241e+05   2.0707e+05   2.0736e+05   2.2241e+05
  2.2916e+00   2.2928e+00   8.2968e-01   6.7826e-02   2.0928e-03   2.4450e+05   2.2833e+05   2.2867e+05   2.4450e+05
  2.4091e+00   2.4102e+00   8.7962e-01   5.9316e-02   1.9934e-03   2.6746e+05   2.5167e+05   2.5210e+05   2.6746e+05
  2.5327e+00   2.5338e+00   9.2962e-01   6.3138e-02   1.8982e-03   2.9561e+05   2.7754e+05   2.7781e+05   2.9561e+05
  2.6625e+00   2.6640e+00   9.7974e-01   6.4944e-02   1.8077e-03   3.2716e+05   3.0601e+05   3.0665e+05   3.2716e+05
  2.7990e+00   2.8004e+00   1.0297e+00   5.4438e-02   1.7225e-03   3.5738e+05   3.3703e+05   3.3803e+05   3.5738e+05
  2.9425e+00   2.9439e+00   1.0796e+00   5.1630e-02   1.6416e-03   3.9322e+05   3.7110e+05   3.7258e+05   3.9322e+05
  3.0934e+00   3.0950e+00   1.1297e+00   5.1557e-02   1.5647e-03   4.3272e+05   4.0847e+05   4.1007e+05   4.3272e+05
  3.2520e+00   3.2539e+00   1.1797e+00   5.2583e-02   1.4905e-03   4.7661e+05   4.5011e+05   4.5152e+05   4.7661e+05
  3.4187e+00   3.4205e+00   1.2297e+00   5.1089e-02   1.4209e-03   5.2270e+05   4.9532e+05   4.9636e+05   5.2270e+05
  3.5940e+00   3.5960e+00   1.2797e+00   5.1412e-02   1.3535e-03   5.7473e+05   5.4589e+05   5.4628e+05   5.7473e+05
  3.7783e+00   3.7803e+00   1.3297e+00   4.6097e-02   1.2905e-03   6.2955e+05   6.0045e+05   6.0116e+05   6.2955e+05
  3.9720e+00   3.9739e+00   1.3797e+00   4.5090e-02   1.2303e-03   6.9418e+05   6.6064e+05   6.6252e+05   6.9418e+05
  4.1756e+00   4.1781e+00   1.4297e+00   3.6722e-02   1.1734e-03   7.5942e+05   7.2634e+05   7.2954e+05   7.5942e+05
  4.3897e+00   4.3920e+00   1.4797e+00   3.1699e-02   1.1191e-03   8.3522e+05   7.9841e+05   8.0416e+05   8.3522e+05
  4.6148e+00   4.6171e+00   1.5297e+00   3.1171e-02   1.0670e-03   9.1564e+05   8.7832e+05   8.8329e+05   9.1564e+05
  4.8514e+00   4.8538e+00   1.5797e+00   2.9156e-02   1.0183e-03   1.0050e+06   9.6433e+05   9.7061e+05   1.0050e+06
  5.1001e+00   5.1027e+00   1.6297e+00   3.6550e-02   9.7032e-04   1.1045e+06   1.0621e+06   1.0639e+06   1.1045e+06
  5.3616e+00   5.3644e+00   1.6797e+00   3.5603e-02   9.2574e-04   1.2110e+06   1.1669e+06   1.1682e+06   1.2110e+06
  5.6365e+00   5.6392e+00   1.7296e+00   2.7741e-02   8.8311e-04   1.3270e+06   1.2822e+06   1.2868e+06   1.3270e+06
  5.9255e+00   5.9284e+00   1.7796e+00   1.6780e-02   8.4511e-04   1.4582e+06   1.4002e+06   1.4174e+06   1.4582e+06
  6.2293e+00   6.2323e+00   1.8296e+00   1.6829e-02   8.0563e-04   1.5968e+06   1.5407e+06   1.5558e+06   1.5968e+06
  6.5487e+00   6.5519e+00   1.8797e+00   1.8466e-02   7.6993e-04   1.7510e+06   1.6869e+06   1.7034e+06   1.7510e+06
  6.8845e+00   6.8878e+00   1.9297e+00   1.3766e-02   7.3541e-04   1.9130e+06   1.8490e+06   1.8683e+06   1.9130e+06
  7.2374e+00   7.2409e+00   1.9796e+00   1.7907e-02   7.0199e-04   2.0984e+06   2.0293e+06   2.0457e+06   2.0984e+06
  7.6085e+00   7.6118e+00   2.0296e+00   1.8638e-02   6.7066e-04   2.2985e+06   2.2233e+06   2.2402e+06   2.2985e+06
  7.9986e+00   8.0026e+00   2.0797e+00   1.3859e-02   6.4185e-04   2.5131e+06   2.4274e+06   2.4534e+06   2.5131e+06
  8.4087e+00   8.4129e+00   2.1297e+00   1.2734e-02   6.1371e-04   2.7471e+06   2.6551e+06   2.6842e+06   2.7471e+06
  8.8398e+00   8.8436e+00   2.1796e+00   6.8931e-03   5.8719e-04   3.0107e+06   2.9003e+06   2.9455e+06   3.0107e+06
  9.2931e+00   9.2974e+00   2.2296e+00   4.2432e-03   5.6145e-04   3.2902e+06   3.1723e+06   3.2245e+06   3.2902e+06
  9.7695e+00   9.7743e+00   2.2796e+00   8.8586e-03   5.3666e-04   3.5980e+06   3.4722e+06   3.5198e+06   3.5980e+06
  1.0270e+01   1.0275e+01   2.3296e+00   6.8856e-03   5.1442e-04   3.9277e+06   3.7789e+06   3.8403e+06   3.9277e+06
  1.0797e+01   1.0802e+01   2.3796e+00   7.8986e-03   4.9323e-04   4.2798e+06   4.1105e+06   4.1789e+06   4.2798e+06
